location,Month-Year,new_cases
Bolivia,Jul-21,33882
Bolivia,Aug-21,17373
Bolivia,Sep-21,9566
Bolivia,Oct-21,13139
Bolivia,Nov-21,23975
Bolivia,Dec-21,62194
Bolivia,Jan-22,255952
Bolivia,Feb-22,37690
Bolivia,Mar-22,8548
Bolivia,Apr-22,3031
Bolivia,May-22,3888
Bolivia,Jun-22,17856
Bolivia,Jul-22,110782
Bolivia,Aug-22,64152
Bolivia,Sep-22,6610
Bolivia,Oct-22,1185
Bolivia,Nov-22,1639
Bolivia,Dec-22,49932
Bolivia,Jan-23,26968
Bolivia,Feb-23,394
Bonaire Sint Eustatius and Saba,Apr-20,5
Bonaire Sint Eustatius and Saba,May-20,1
Bonaire Sint Eustatius and Saba,Jun-20,1
Bonaire Sint Eustatius and Saba,Jul-20,4
Bonaire Sint Eustatius and Saba,Aug-20,4
Bonaire Sint Eustatius and Saba,Sep-20,106
Bonaire Sint Eustatius and Saba,Oct-20,32
Bonaire Sint Eustatius and Saba,Nov-20,9
Bonaire Sint Eustatius and Saba,Dec-20,34
Bonaire Sint Eustatius and Saba,Jan-21,0
Bonaire Sint Eustatius and Saba,Feb-21,0
Bonaire Sint Eustatius and Saba,Mar-21,0
Bonaire Sint Eustatius and Saba,Apr-21,1362
Bonaire Sint Eustatius and Saba,May-21,55
Bonaire Sint Eustatius and Saba,Jun-21,36
Bonaire Sint Eustatius and Saba,Jul-21,58
Bonaire Sint Eustatius and Saba,Aug-21,84
Bonaire Sint Eustatius and Saba,Sep-21,305
Bonaire Sint Eustatius and Saba,Oct-21,339
Bonaire Sint Eustatius and Saba,Nov-21,503
Bonaire Sint Eustatius and Saba,Dec-21,468
Bonaire Sint Eustatius and Saba,Jan-22,3595
Bonaire Sint Eustatius and Saba,Feb-22,581
Bonaire Sint Eustatius and Saba,Mar-22,958
Bonaire Sint Eustatius and Saba,Apr-22,1205
Bonaire Sint Eustatius and Saba,May-22,346
